Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Wendle, Joey",Mets,INF,2000000,,0,0.0,Joey Wendle,36,37,8,7,1,0,0,9,1,24.3,2.7,0.222,0.25,0.243,0.493,0.223,0.289,0.219,0.239,0.244,0.066,68.0,2.1,5.6,4.3,52.8,40.4,6.9,2,88.3,4.8,37.0,0.0,25.9,94.74595,91.372975,27.4,46.3
"Senzel, Nick",Nationals,3,2000000,,0,0.0,Nick Senzel,236,267,46,28,11,0,7,61,28,22.8,10.5,0.195,0.331,0.283,0.614,0.229,0.355,0.273,0.298,0.314,0.125,68.7,3.1,6.5,5.3,32.2,26.1,7.5,19,84.0,15.5,38.6,5.7,26.7,95.746731264,91.876891724,23.9,47.1
"Frazier, Adam",Royals,2,2000000,,0,0.0,Adam Frazier,262,294,53,38,10,1,4,59,22,20.1,7.5,0.202,0.294,0.282,0.576,0.238,0.318,0.261,0.286,0.314,0.08,66.5,1.2,4.8,3.9,30.3,24.8,6.9,11,84.5,15.3,37.9,2.9,22.8,95.005808416,91.560763134,18.8,47.0
"Hampson, Garrett",Royals,2,2000000,,0,0.0,Garrett Hampson,213,231,49,35,13,1,0,59,14,25.5,6.1,0.23,0.3,0.275,0.575,0.206,0.282,0.255,0.244,0.254,0.077,69.1,2.8,10.6,8.2,31.8,24.7,7.0,4,86.0,16.1,31.6,4.4,30.4,96.882247895,92.472205166,22.9,47.6
"Refsnyder, Rob",Red Sox,OF,1850000,,0,0.0,Rob Refsnyder,272,307,77,49,16,1,11,78,28,25.4,9.1,0.283,0.471,0.359,0.83,0.252,0.412,0.358,0.326,0.333,0.16,72.8,28.0,17.4,13.1,31.3,23.5,7.6,10,89.6,10.7,32.8,9.7,43.1,101.623071856,95.034267165,28.1,46.2
"Knizner, Andrew",Rangers,C,1825000,,0,0.0,Andrew Knizner,90,93,15,13,1,0,1,22,1,23.7,1.1,0.167,0.211,0.183,0.394,0.232,0.324,0.174,0.248,0.246,0.092,70.3,7.9,10.7,7.9,32.2,23.8,7.0,3,87.3,11.9,33.3,4.3,34.8,98.242582,93.279161304,27.3,55.0
"Madrigal, Nick",Cubs,INF,1810000,,0,0.0,Nick Madrigal,86,94,19,16,3,0,0,10,4,10.6,4.3,0.221,0.256,0.28,0.536,0.243,0.291,0.245,0.27,0.301,0.048,65.4,2.2,2.4,2.2,33.3,30.2,6.5,2,85.1,3.4,27.3,0.0,18.2,94.487136053,91.287135867,11.2,50.0
"Cooper, Garrett",Cubs,1,1750000,,0,0.0,Garrett Cooper,107,116,22,15,5,1,1,35,7,30.2,6.0,0.206,0.299,0.267,0.566,0.261,0.412,0.253,0.321,0.319,0.151,72.9,26.9,10.3,7.4,28.6,20.6,7.8,3,85.9,12.7,47.2,9.7,36.1,98.9080275,93.4931725,29.5,46.7
"DeJong, Paul",White Sox,SS,1750000,,0,0.0,Paul DeJong,445,482,101,60,17,0,24,156,23,32.4,4.8,0.227,0.427,0.276,0.703,0.218,0.395,0.302,0.291,0.27,0.177,72.0,15.5,12.0,8.1,27.0,18.3,6.9,11,87.8,20.0,36.4,10.2,41.5,99.999893878,94.174456531,34.9,58.0
"Andujar, Miguel",Athletics,OF,1700000,,0,0.0,Miguel Andujar,302,319,86,67,14,1,4,42,13,13.2,4.1,0.285,0.377,0.32,0.697,0.26,0.337,0.306,0.282,0.296,0.077,71.6,22.2,11.6,9.9,31.0,26.6,7.6,8,86.1,9.2,26.1,2.7,33.7,97.864980763,92.955361494,16.0,50.4
"Sosa, Edmundo",Phillies,INF,1700000,,0,0.0,Edmundo Sosa,249,274,64,41,12,4,7,66,13,24.1,4.7,0.257,0.422,0.313,0.735,0.243,0.387,0.318,0.305,0.302,0.144,73.0,33.7,13.0,9.1,26.6,18.5,8.3,3,89.2,12.8,28.5,8.6,41.4,100.484249348,94.380628306,31.4,56.8
"Jankowski, Travis",Rangers,OF,1700000,,0,0.0,Travis Jankowski,190,207,38,32,5,0,1,44,12,21.3,5.8,0.2,0.242,0.266,0.508,0.207,0.252,0.234,0.241,0.272,0.046,67.0,1.9,5.2,4.2,33.3,26.8,6.5,7,85.4,5.9,25.3,0.7,24.7,95.346098056,91.700885874,20.7,44.8
"Rogers, Jake",Tigers,C,1700000,,0,0.0,Jake Rogers,310,337,61,34,16,1,10,99,22,29.4,6.5,0.197,0.352,0.255,0.607,0.218,0.413,0.264,0.297,0.276,0.194,70.7,6.4,14.2,9.7,39.2,26.6,7.4,12,89.0,15.7,32.9,9.9,41.8,99.180639906,93.973828585,32.7,47.6
"Grichuk, Randal",Diamondbacks,OF,1500000,,0,0.0,Randal Grichuk,254,279,74,40,20,2,12,46,20,16.5,7.2,0.291,0.528,0.348,0.876,0.278,0.483,0.373,0.359,0.338,0.206,73.7,35.4,18.9,15.2,34.7,27.9,7.7,10,90.6,17.3,34.3,11.0,47.6,102.436633714,95.601048095,20.4,47.3
"Rosario, Amed",Rays,INF,1500000,,0,0.0,Amed Rosario,332,346,93,69,18,3,3,73,9,21.1,2.6,0.28,0.38,0.306,0.686,0.25,0.359,0.299,0.28,0.278,0.109,71.2,16.7,11.7,9.0,31.2,23.9,7.3,8,86.9,4.6,33.5,4.6,36.2,98.559932462,93.290414231,24.6,55.2
"McGuire, Reese",Red Sox,C,1500000,,0,0.0,Reese McGuire,139,158,29,23,3,0,3,39,13,24.7,8.2,0.209,0.295,0.28,0.575,0.222,0.341,0.259,0.282,0.293,0.12,68.8,6.1,8.2,6.6,27.1,21.7,8.1,5,84.0,12.4,29.8,6.7,26.9,95.6847612,91.98821798,24.5,45.0
"Stallings, Jacob",Rockies,C,1500000,,0,0.0,Jacob Stallings,243,281,64,37,17,1,9,65,27,23.1,9.6,0.263,0.453,0.357,0.81,0.235,0.381,0.353,0.318,0.334,0.146,67.6,1.2,10.5,7.7,36.3,26.6,7.2,9,86.6,12.8,38.9,7.2,34.4,97.816675843,92.986677006,29.8,45.4
"Tovar, Ezequiel",Rockies,SS,1500000,7,63500000,9071428.0,Ezequiel Tovar,655,695,176,101,45,4,26,200,23,28.8,3.3,0.269,0.469,0.295,0.764,0.233,0.401,0.324,0.289,0.264,0.168,71.3,18.9,11.8,8.0,30.6,20.9,7.5,17,88.8,18.9,38.5,9.0,39.8,99.306485852,93.964016332,33.5,62.3
"Urshela, Gio",Tigers,3,1500000,,0,0.0,Gio Urshela,432,461,108,79,19,1,9,72,23,15.6,5.0,0.25,0.361,0.286,0.647,0.264,0.389,0.281,0.302,0.302,0.126,68.2,4.2,9.0,7.3,35.9,29.0,7.1,10,86.4,10.5,38.6,4.9,28.4,96.696776409,92.394270526,20.3,54.6
"Stewart, DJ",Mets,OF,1380000,,0,0.0,DJ Stewart,158,194,28,19,4,0,5,48,31,24.7,16.0,0.177,0.297,0.325,0.622,0.212,0.346,0.29,0.326,0.357,0.134,71.5,19.2,16.1,11.4,35.0,24.7,7.1,2,89.7,19.1,34.2,8.1,39.6,100.346718909,94.280565091,30.0,40.9
"Bauers, Jake",Brewers,1,1350000,,0,0.0,Jake Bauers,302,346,60,37,9,2,12,118,39,34.1,11.3,0.199,0.361,0.301,0.662,0.201,0.379,0.294,0.302,0.303,0.178,73.8,31.0,11.0,8.2,23.8,17.6,7.5,14,89.4,22.6,38.6,10.3,42.9,99.96682033,94.377085138,29.1,45.8
"Olivares, Edward",Pirates,OF,1350000,,0,0.0,Edward Olivares,174,196,39,30,4,0,5,37,16,18.9,8.2,0.224,0.333,0.291,0.624,0.28,0.397,0.276,0.332,0.348,0.117,71.8,23.4,14.2,10.9,28.8,22.0,7.3,4,86.8,9.2,35.5,6.4,35.5,98.508436056,93.311684681,24.2,51.0
"Kirilloff, Alex",Twins,INF,1350000,,0,0.0,Alex Kirilloff,159,178,32,16,8,3,5,47,15,26.4,8.4,0.201,0.384,0.27,0.654,0.218,0.419,0.282,0.31,0.289,0.202,72.4,19.4,16.8,11.9,35.3,25.0,7.8,3,91.3,13.2,27.0,11.3,40.9,100.310300172,94.70393913,30.9,49.2
"Toro, Abraham",Athletics,INF,1275000,,0,0.0,Abraham Toro,337,364,81,57,17,1,6,62,20,17.0,5.5,0.24,0.35,0.293,0.643,0.245,0.365,0.283,0.291,0.297,0.12,69.6,10.7,10.7,8.9,36.2,29.9,7.6,4,87.2,12.2,33.2,4.3,29.6,97.476845145,92.798620509,17.4,48.1
"Walsh, Jared",Rangers,1,1250000,,0,0.0,Jared Walsh,53,60,12,9,2,0,1,21,7,35.0,11.7,0.226,0.321,0.317,0.638,0.241,0.4,0.289,0.324,0.329,0.16,75.0,50.8,12.5,6.8,28.1,15.3,7.6,1,84.2,21.5,40.6,9.4,31.3,99.623474375,93.811737188,41.3,41.6
"Lux, Gavin",Dodgers,2,1225000,,0,0.0,Gavin Lux,439,487,110,74,24,2,10,110,44,22.6,9.0,0.251,0.383,0.32,0.703,0.259,0.386,0.31,0.318,0.33,0.127,71.3,15.8,13.7,10.8,32.8,26.0,7.3,20,88.3,9.1,35.0,6.0,41.1,98.995997212,93.691033374,23.3,45.1
"Guillorme, Luis",Braves,INF,1100000,,0,0.0,Luis Guillorme,161,187,33,23,9,1,0,36,23,19.3,12.3,0.205,0.273,0.301,0.574,0.223,0.29,0.263,0.279,0.317,0.067,64.9,1.0,4.5,3.8,38.7,32.2,7.5,4,85.5,5.7,32.8,2.3,21.1,94.424899375,91.273931654,18.9,42.3
"Vargas, Ildemaro",Nationals,INF,1100000,,0,0.0,Ildemaro Vargas,272,303,67,50,16,0,1,31,19,10.2,6.3,0.246,0.316,0.295,0.611,0.255,0.322,0.271,0.28,0.305,0.067,69.6,8.4,8.7,7.7,40.2,35.6,7.2,3,87.0,4.0,29.5,1.2,31.9,97.073438667,92.579283167,12.6,46.4
"Kemp, Tony",Orioles,OF,1000000,,0,0.0,Tony Kemp,9,10,0,0,0,0,0,1,1,10.0,10.0,0.0,0.0,0.1,0.1,0.134,0.175,0.069,0.187,0.22,0.041,62.6,0.0,0.0,0.0,50.0,37.5,6.6,1,82.8,17.6,25.0,0.0,12.5,92.937755,90.954065714,13.6,59.5
"Profar, Jurickson",Padres,OF,1000000,,0,0.0,Jurickson Profar,564,668,158,105,29,0,24,101,76,15.1,11.4,0.28,0.459,0.38,0.839,0.282,0.444,0.365,0.364,0.383,0.161,71.7,22.8,12.4,10.4,32.2,27.0,7.3,13,91.1,13.4,31.3,7.2,44.4,100.952441293,94.862553707,17.0,45.6
"Cave, Jake",Rockies,OF,1000000,,0,0.0,Jake Cave,323,346,81,53,16,5,7,98,18,28.3,5.2,0.251,0.396,0.29,0.686,0.233,0.357,0.295,0.277,0.275,0.123,69.5,7.2,9.4,6.9,30.6,22.3,7.0,17,87.5,7.5,35.8,5.2,37.1,98.314485398,93.366757022,28.2,52.6
"Pillar, Kevin",White Sox,OF,1000000,,0,0.0,Kevin Pillar,284,314,65,40,16,1,8,69,16,22.0,5.1,0.229,0.377,0.291,0.668,0.221,0.329,0.293,0.275,0.284,0.109,69.4,5.7,8.7,7.0,27.8,22.2,7.6,28,84.6,17.9,36.5,3.7,29.7,96.438782936,92.245806101,24.5,52.4
"Haggerty, Sam",Mariners,2,900000,,0,0.0,Sam Haggerty,15,16,1,1,0,0,0,4,1,25.0,6.3,0.067,0.067,0.125,0.192,0.169,0.197,0.098,0.195,0.221,0.028,70.1,13.0,11.1,8.7,38.9,30.4,7.1,2,84.3,5.7,27.3,0.0,18.2,95.088311667,92.426815455,28.6,47.5
"Gordon, Nick",Marlins,OF,900000,,0,0.0,Nick Gordon,260,275,59,39,11,1,8,67,11,24.4,4.0,0.227,0.369,0.258,0.627,0.218,0.351,0.271,0.263,0.252,0.133,68.2,3.6,9.0,6.2,32.9,22.8,7.3,11,86.1,6.5,34.7,6.1,29.6,96.567867732,92.321775928,32.0,59.8
"Ahmed, Nick",Giants,SS,850000,,0,0.0,Nick Ahmed,210,228,48,39,6,1,2,51,11,22.4,4.8,0.229,0.295,0.267,0.562,0.226,0.32,0.248,0.259,0.266,0.093,67.9,0.5,5.2,3.8,30.5,22.5,7.3,5,84.9,13.4,29.7,3.0,23.0,95.399118608,91.729839045,26.0,54.8
"Wade, Tyler",Padres,3,850000,,0,0.0,Tyler Wade,138,156,30,27,3,0,0,29,11,18.6,7.1,0.217,0.239,0.285,0.524,0.244,0.31,0.242,0.281,0.309,0.066,66.1,1.6,4.7,3.8,38.3,31.3,6.7,0,83.7,14.5,38.1,1.8,17.7,93.385363922,90.890811782,20.8,44.1
"Stubbs, Garrett",Phillies,C,850000,,0,0.0,Garrett Stubbs,164,187,34,28,4,1,1,50,17,26.7,9.1,0.207,0.262,0.296,0.558,0.192,0.238,0.258,0.246,0.283,0.047,66.6,1.6,1.7,1.3,23.7,18.2,7.1,6,79.7,19.4,40.9,0.0,9.6,90.095995,89.651776916,24.9,49.6
"Volpe, Anthony",Yankees,SS,810100,,0,0.0,Anthony Volpe,637,689,155,109,27,7,12,156,42,22.6,6.1,0.243,0.364,0.293,0.657,0.238,0.332,0.287,0.278,0.291,0.094,69.5,4.7,10.8,8.5,33.2,26.2,7.1,29,87.7,8.4,33.3,3.9,35.4,98.177841555,93.206482989,22.6,48.1
"Perkins, Blake",Brewers,OF,800000,,0,0.0,Blake Perkins,383,434,92,71,13,2,6,108,42,24.9,9.7,0.24,0.332,0.316,0.648,0.218,0.311,0.288,0.275,0.298,0.093,69.4,3.2,12.9,9.3,42.3,30.6,7.3,13,88.8,12.0,32.0,3.9,37.7,97.789208222,93.114376074,27.1,42.4
"Raleigh, Cal",Mariners,C,795000,,0,0.0,Cal Raleigh,546,628,120,70,16,0,34,176,70,28.0,11.1,0.22,0.436,0.312,0.748,0.233,0.476,0.323,0.346,0.326,0.243,74.5,45.1,15.9,11.3,28.5,20.2,7.8,15,91.0,21.2,35.6,15.4,48.1,102.032071755,95.508789467,31.0,52.3
"Perdomo, Geraldo",Diamondbacks,SS,786000,,0,0.0,Geraldo Perdomo,337,388,92,66,21,2,3,58,36,14.9,9.3,0.273,0.374,0.344,0.718,0.231,0.314,0.317,0.281,0.307,0.083,66.9,2.2,7.6,6.6,38.4,33.6,6.8,11,87.0,16.9,28.9,3.1,25.8,96.084793623,92.044093913,12.2,40.5
"Cabrera, Oswaldo",Yankees,OF,783000,,0,0.0,Oswaldo Cabrera,299,326,74,55,11,0,8,63,21,19.3,6.4,0.247,0.365,0.296,0.661,0.248,0.334,0.29,0.285,0.301,0.086,68.3,1.6,9.8,7.9,33.8,27.2,7.0,3,88.2,12.5,34.0,3.7,34.9,97.641570336,92.88412097,18.8,47.8
"Adell, Jo",Angels,OF,770000,,0,0.0,Jo Adell,405,451,84,47,15,2,20,126,35,27.9,7.8,0.207,0.402,0.28,0.682,0.224,0.418,0.296,0.312,0.297,0.193,76.7,65.9,15.2,11.0,25.1,18.2,7.6,20,89.8,15.9,30.5,11.7,44.7,102.6788005,95.748719749,29.8,49.7
"Moniak, Mickey",Angels,OF,770000,,0,0.0,Mickey Moniak,392,418,86,53,17,2,14,114,21,27.3,5.0,0.219,0.38,0.266,0.646,0.221,0.379,0.281,0.283,0.267,0.158,73.1,28.6,13.0,9.3,28.2,20.2,7.7,10,88.1,19.8,31.9,9.3,34.4,99.494460797,93.816907681,30.6,56.7
"Thaiss, Matt",Angels,C,770000,,0,0.0,Matt Thaiss,157,186,32,21,9,0,2,58,28,31.2,15.1,0.204,0.299,0.323,0.622,0.194,0.323,0.286,0.291,0.315,0.129,72.4,23.5,14.4,9.0,29.8,18.7,7.8,9,86.6,12.9,33.0,8.0,40.0,99.8347254,94.000036869,39.6,44.8
"Outman, James",Dodgers,OF,770000,,0,0.0,James Outman,136,156,20,12,4,0,4,55,16,35.3,10.3,0.147,0.265,0.256,0.521,0.198,0.319,0.242,0.282,0.301,0.121,73.2,31.2,11.2,6.9,25.6,15.8,7.9,7,87.6,15.3,38.3,4.9,38.3,100.237923902,94.412729136,37.1,47.6
"Bart, Joey",Giants,C,770000,,0,0.0,Joey Bart,253,282,67,43,11,0,13,73,22,25.9,7.8,0.265,0.462,0.337,0.799,0.247,0.431,0.347,0.33,0.322,0.183,74.8,51.0,16.2,12.0,29.0,21.4,7.5,10,88.1,10.5,32.6,9.4,38.7,100.959040333,94.605861732,26.2,43.7
"Thomas, Alek",Diamondbacks,OF,769500,,0,0.0,Alek Thomas,95,103,18,9,5,1,3,17,7,16.5,6.8,0.189,0.358,0.245,0.603,0.278,0.446,0.262,0.337,0.327,0.168,70.9,8.1,18.7,14.7,44.9,35.3,7.1,5,91.2,1.0,26.6,7.6,46.8,101.335202632,95.041754868,25.1,49.2
"Diaz, Yainer",Astros,C,768900,,0,0.0,Yainer Diaz,585,619,175,127,29,3,16,107,24,17.3,3.9,0.299,0.441,0.325,0.766,0.299,0.458,0.329,0.339,0.327,0.159,72.6,23.7,17.1,13.2,34.4,26.5,7.4,17,90.2,8.9,35.0,7.6,47.5,101.297056214,95.034359505,24.0,58.8
"De La Cruz, Bryan",Marlins,OF,768000,,0,0.0,Bryan De La Cruz,584,622,136,90,25,0,21,170,29,27.3,4.7,0.233,0.384,0.271,0.655,0.242,0.419,0.283,0.302,0.28,0.177,71.8,19.8,12.7,9.2,32.7,23.7,7.7,20,89.6,13.1,35.6,9.3,41.3,99.848652919,94.22196445,30.1,53.4
"Stott, Bryson",Phillies,2,768000,,0,0.0,Bryson Stott,506,571,124,92,19,2,11,93,53,16.3,9.3,0.245,0.356,0.315,0.671,0.254,0.363,0.296,0.306,0.325,0.109,68.2,1.9,8.8,7.5,34.8,29.7,7.1,22,87.0,14.0,35.3,3.6,30.8,97.149266143,92.631038831,17.0,44.1
"Meyers, Jake",Astros,OF,767300,,0,0.0,Jake Meyers,461,513,101,65,20,3,13,117,35,22.8,6.8,0.219,0.36,0.286,0.646,0.235,0.382,0.285,0.304,0.303,0.147,68.6,7.8,10.6,8.0,31.6,23.8,7.0,31,88.2,14.4,34.8,6.8,37.0,99.317270058,93.726741906,27.0,49.1
"Morel, Christopher",Cubs,3,767000,,0,0.0,Christopher Morel,535,611,105,70,11,3,21,159,61,26.0,10.0,0.196,0.346,0.288,0.634,0.225,0.399,0.28,0.316,0.316,0.174,76.1,64.7,17.6,11.7,30.2,20.1,8.0,24,89.2,14.2,27.6,10.2,40.4,101.221222105,94.784090605,34.1,47.0
"Contreras, William",Brewers,C,766900,,0,0.0,William Contreras,595,679,167,105,37,2,23,139,78,20.5,11.5,0.281,0.466,0.365,0.831,0.269,0.471,0.359,0.358,0.356,0.202,74.7,50.4,21.1,15.7,34.9,25.9,7.3,25,92.8,6.1,29.0,10.0,49.5,103.875480043,96.642602527,27.8,47.4
"Peraza, Oswald",Yankees,SS,766600,,0,0.0,Oswald Peraza,10,11,2,1,0,0,1,3,1,27.3,9.1,0.2,0.5,0.273,0.773,0.228,0.488,0.329,0.341,0.298,0.26,74.6,53.8,10.0,7.7,30.0,23.1,7.4,1,87.0,5.9,42.9,14.3,28.6,97.08963,93.497784286,30.0,50.0
"Marsh, Brandon",Phillies,OF,766500,,0,0.0,Brandon Marsh,418,476,104,68,17,3,16,154,50,32.4,10.5,0.249,0.419,0.328,0.747,0.236,0.406,0.326,0.324,0.321,0.17,71.9,15.4,14.8,11.1,33.8,25.2,7.2,4,91.6,13.8,40.7,10.0,47.4,101.08883194,95.182442734,27.5,41.3
"Greene, Riley",Tigers,OF,766300,,0,0.0,Riley Greene,512,584,134,77,27,6,24,156,64,26.7,11.0,0.262,0.479,0.348,0.827,0.253,0.477,0.355,0.353,0.341,0.224,74.6,45.3,16.9,12.5,30.6,22.7,7.2,7,91.3,12.2,39.1,13.4,47.1,102.088081676,95.54007409,26.8,44.3
"McCarthy, Jake",Diamondbacks,OF,766000,,0,0.0,Jake McCarthy,442,495,126,98,13,7,8,78,31,15.8,6.3,0.285,0.4,0.349,0.749,0.265,0.359,0.329,0.311,0.333,0.094,67.3,3.1,6.8,5.7,31.8,26.5,6.7,12,84.5,9.1,30.4,2.7,24.5,95.637290857,91.834529486,17.6,49.3
"Vierling, Matt",Tigers,OF,766000,,0,0.0,Matt Vierling,518,567,133,84,28,5,16,121,41,21.3,7.2,0.257,0.423,0.312,0.735,0.256,0.393,0.317,0.309,0.313,0.137,71.1,12.2,15.6,12.5,35.6,28.6,7.4,8,89.8,11.7,34.1,7.5,40.9,100.235830606,94.344722247,19.5,42.8
"Torkelson, Spencer",Tigers,1,765700,,0,0.0,Spencer Torkelson,342,381,75,43,21,1,10,105,33,27.6,8.7,0.219,0.374,0.295,0.669,0.209,0.351,0.295,0.283,0.286,0.142,73.6,28.9,12.0,9.0,26.0,19.5,7.5,11,89.0,20.2,31.5,6.7,39.7,99.687498067,94.009349451,26.6,46.0
"McKinstry, Zach",Tigers,INF,764400,,0,0.0,Zach McKinstry,297,325,64,41,14,5,4,69,24,21.2,7.4,0.215,0.337,0.277,0.614,0.238,0.364,0.27,0.294,0.299,0.126,67.2,0.8,8.8,7.0,39.0,30.8,6.7,5,88.0,18.7,37.8,4.3,32.6,97.327044,92.860583362,22.1,47.7
"Reyes, Pablo",Red Sox,INF,764000,,0,0.0,Pablo Reyes,60,64,11,9,2,0,0,19,3,29.7,4.7,0.183,0.217,0.234,0.451,0.211,0.3,0.207,0.251,0.26,0.089,69.2,2.8,10.7,8.3,37.5,29.2,7.2,0,88.0,13.2,31.7,4.9,31.7,98.01069381,93.163830732,19.8,42.1
"Alvarez, Francisco",Mets,C,762500,,0,0.0,Francisco Alvarez,308,342,73,46,14,2,11,86,30,25.1,8.8,0.237,0.403,0.307,0.71,0.22,0.358,0.31,0.289,0.292,0.139,73.6,37.9,16.3,11.8,31.1,22.6,7.2,11,88.8,6.9,27.2,6.7,42.0,101.298215536,94.784205516,29.6,46.1
"Nootbaar, Lars",Cardinals,OF,761000,,0,0.0,Lars Nootbaar,348,405,85,52,18,3,12,79,52,19.5,12.8,0.244,0.417,0.342,0.759,0.264,0.455,0.331,0.355,0.359,0.191,72.6,28.2,21.4,17.8,37.3,31.0,6.8,15,91.8,6.0,32.2,9.9,49.5,102.282162353,95.717855683,19.0,37.2
"Carpenter, Kerry",Tigers,OF,761000,,0,0.0,Kerry Carpenter,264,296,75,36,16,5,18,75,22,25.3,7.4,0.284,0.587,0.345,0.932,0.265,0.555,0.39,0.379,0.332,0.29,71.6,15.7,16.4,11.8,33.7,24.2,7.5,11,90.5,17.6,40.1,17.7,46.4,100.928032292,94.944129215,30.3,50.5
"Pache, Cristian",Phillies,OF,760500,,0,0.0,Cristian Pache,165,183,33,23,8,1,1,64,17,35.0,9.3,0.2,0.279,0.273,0.552,0.195,0.283,0.25,0.25,0.269,0.088,71.7,15.1,12.4,8.5,28.1,19.3,7.4,7,89.9,9.8,26.5,4.9,38.2,99.682097,94.253817172,33.2,48.7
"Rutschman, Adley",Orioles,C,760300,,0,0.0,Adley Rutschman,571,638,143,102,21,1,19,103,58,16.1,9.1,0.25,0.391,0.318,0.709,0.255,0.393,0.309,0.315,0.325,0.138,69.0,6.4,10.6,8.9,35.7,30.0,6.9,9,88.2,18.8,35.4,6.1,36.6,98.081119454,93.149039684,17.1,44.5
"Moreno, Gabriel",Diamondbacks,C,760100,,0,0.0,Gabriel Moreno,305,351,81,57,18,1,5,52,41,14.8,11.7,0.266,0.38,0.353,0.733,0.255,0.384,0.325,0.325,0.345,0.13,70.7,13.0,14.9,12.1,36.1,29.2,7.0,7,90.0,8.8,33.6,6.6,41.0,99.887726484,94.221263359,18.5,41.2
"O'Hoppe, Logan",Angels,C,760000,,0,0.0,Logan O'Hoppe,479,522,117,79,17,1,20,155,33,29.7,6.3,0.244,0.409,0.303,0.712,0.251,0.454,0.311,0.331,0.31,0.203,70.7,17.4,14.6,10.1,32.9,22.7,7.3,41,90.4,15.3,42.9,12.0,46.3,101.233350982,95.0870388,33.6,52.0
"Kelenic, Jarred",Braves,OF,760000,,0,0.0,Jarred Kelenic,412,449,95,60,18,2,15,133,32,29.6,7.1,0.231,0.393,0.286,0.679,0.241,0.412,0.294,0.308,0.296,0.171,72.7,24.8,16.5,11.1,34.8,23.5,7.3,18,89.8,16.0,38.2,9.9,45.2,100.297571631,94.504780603,33.4,49.9
"Burger, Jake",Marlins,3,760000,,0,0.0,Jake Burger,535,579,134,81,23,1,29,150,31,25.9,5.4,0.25,0.46,0.301,0.761,0.256,0.476,0.325,0.338,0.307,0.221,74.7,46.9,20.2,14.4,33.4,23.9,7.5,17,91.3,13.0,32.4,12.3,46.8,103.619986856,96.171144407,30.1,52.4
"Casas, Triston",Red Sox,1,760000,,0,0.0,Triston Casas,212,243,51,30,8,0,13,77,30,31.7,12.3,0.241,0.462,0.337,0.799,0.219,0.452,0.342,0.33,0.319,0.233,74.6,49.3,13.6,9.5,28.9,20.2,7.7,10,90.2,10.5,35.6,13.3,45.2,101.435410588,95.112485926,32.2,44.5
"Dalbec, Bobby",Red Sox,INF,760000,,0,0.0,Bobby Dalbec,83,93,11,8,2,0,1,43,8,46.2,8.6,0.133,0.193,0.217,0.41,0.119,0.171,0.194,0.18,0.205,0.052,72.3,19.9,9.0,5.1,27.0,15.4,7.2,4,86.0,10.0,19.5,2.4,39.0,98.6997445,93.55091125,41.8,47.0
"Duran, Jarren",Red Sox,OF,760000,,0,0.0,Jarren Duran,671,735,191,108,48,14,21,160,54,21.8,7.3,0.285,0.492,0.342,0.834,0.275,0.453,0.357,0.342,0.334,0.178,73.6,36.4,17.9,13.8,30.2,23.3,7.6,21,90.8,9.5,33.8,9.3,43.9,101.928155512,95.341113209,24.8,48.3
"Wong, Connor",Red Sox,C,760000,,0,0.0,Connor Wong,447,487,125,87,24,1,13,114,28,23.4,5.7,0.28,0.425,0.333,0.758,0.231,0.355,0.33,0.288,0.29,0.124,72.0,17.5,13.3,9.6,29.4,21.3,7.3,11,86.5,12.9,30.7,6.3,34.5,98.745018171,93.452738532,28.8,51.6
"Fortes, Nick",Marlins,C,759000,,0,0.0,Nick Fortes,308,335,70,50,16,0,4,41,11,12.2,3.3,0.227,0.318,0.259,0.577,0.225,0.29,0.252,0.245,0.259,0.065,71.3,19.4,10.1,8.7,31.2,26.9,7.1,4,84.3,15.4,29.0,1.4,22.6,95.578582782,91.819744812,13.2,49.3
"Isbel, Kyle",Royals,OF,758250,,0,0.0,Kyle Isbel,384,426,88,59,13,8,8,88,27,20.7,6.3,0.229,0.367,0.287,0.654,0.234,0.333,0.286,0.281,0.293,0.099,70.8,10.8,13.0,10.6,33.2,27.1,7.2,5,88.1,9.0,24.8,3.9,36.3,99.427451293,93.787078878,19.3,46.1
"Siri, Jose",Rays,OF,757800,,0,0.0,Jose Siri,402,448,75,40,16,1,18,170,31,37.9,6.9,0.187,0.366,0.255,0.621,0.2,0.409,0.271,0.297,0.269,0.209,72.5,27.2,14.9,9.2,27.3,16.8,7.8,20,87.5,15.4,35.7,14.7,41.6,100.732893305,94.47103983,41.9,50.9
"Clement, Ernie",Blue Jays,2,757700,,0,0.0,Ernie Clement,434,452,114,78,21,3,12,41,11,9.1,2.4,0.263,0.408,0.284,0.692,0.252,0.373,0.297,0.282,0.275,0.121,66.8,1.0,6.9,6.1,41.7,36.9,6.8,13,85.5,16.3,34.3,3.8,24.9,95.659056327,91.830379974,14.4,57.0
