Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Barnes, Austin",Dodgers,C,3500000,,0,0.0,Austin Barnes,140,156,37,33,3,0,1,36,14,23.1,9.0,0.264,0.307,0.331,0.638,0.229,0.292,0.289,0.27,0.299,0.063,68.2,2.2,8.3,6.5,32.6,25.5,6.4,9,86.3,9.5,30.2,1.9,31.1,96.963688654,92.484081538,22.8,47.4
"O'Hearn, Ryan",Orioles,1,3500000,,0,0.0,Ryan O'Hearn,443,494,117,78,21,3,15,69,46,14.0,9.3,0.264,0.427,0.334,0.761,0.278,0.461,0.33,0.351,0.348,0.183,72.4,24.3,14.8,12.4,33.7,28.3,7.1,6,89.6,12.0,35.0,6.9,40.1,99.733150957,94.095787394,18.1,46.7
"Kelly, Carson",Tigers,C,3500000,,0,0.0,Carson Kelly,281,313,67,48,9,1,9,55,25,17.6,8.0,0.238,0.374,0.313,0.687,0.235,0.401,0.304,0.314,0.311,0.166,69.5,5.9,13.0,10.1,37.7,29.3,6.9,3,87.6,13.6,27.3,6.6,39.4,98.979228142,93.591084867,22.8,45.5
"Paredes, Isaac",Rays,3,3400000,,0,0.0,Isaac Paredes,542,641,129,84,25,1,19,105,76,16.4,11.9,0.238,0.393,0.346,0.739,0.22,0.337,0.327,0.304,0.333,0.117,68.2,4.8,6.5,5.4,29.0,24.3,8.0,13,85.0,22.4,37.0,4.5,27.1,95.875582928,91.952619865,17.2,44.7
"Castro, Willi",Twins,OF,3300000,,0,0.0,Willi Castro,558,635,138,90,31,5,12,150,51,23.6,8.0,0.247,0.385,0.331,0.716,0.244,0.381,0.317,0.32,0.331,0.137,70.6,15.5,12.0,8.7,29.0,21.0,7.1,18,87.4,13.6,39.0,7.0,36.8,98.851706502,93.501303852,29.0,51.4
"Vaughn, Andrew",White Sox,1,3250000,,0,0.0,Andrew Vaughn,570,619,140,90,30,1,19,132,38,21.3,6.1,0.246,0.402,0.297,0.699,0.244,0.44,0.304,0.319,0.297,0.197,70.8,12.0,16.2,12.9,35.4,28.3,7.6,12,90.3,16.6,33.6,9.3,43.3,100.921632928,94.702971332,22.0,49.4
"Tellez, Rowdy",Pirates,1,3200000,,0,0.0,Rowdy Tellez,383,421,93,62,18,0,13,89,31,21.1,7.4,0.243,0.392,0.299,0.691,0.237,0.394,0.301,0.302,0.297,0.157,74.4,43.7,15.3,12.3,27.5,22.1,8.0,13,89.4,17.0,32.4,8.0,36.5,100.611958926,94.350585034,21.9,43.3
"Rodgers, Brendan",Rockies,2,3200000,,0,0.0,Brendan Rodgers,501,539,134,91,29,1,13,132,31,24.5,5.8,0.267,0.407,0.314,0.721,0.248,0.377,0.314,0.295,0.297,0.129,71.7,25.2,14.4,11.0,31.5,24.1,7.1,26,89.3,4.9,33.1,5.6,44.1,101.153269243,94.773964417,25.9,49.3
"Moore, Dylan",Mariners,OF,3133333,,0,0.0,Dylan Moore,368,441,74,37,23,4,10,123,53,27.9,12.0,0.201,0.367,0.32,0.687,0.201,0.324,0.306,0.297,0.323,0.124,73.0,27.8,10.8,8.4,27.0,20.8,7.1,16,88.4,22.6,38.2,8.8,36.3,98.78016696,93.44884728,24.8,42.4
"Witt Jr., Bobby",Royals,SS,3111111,11,288777777,26252525.0,Bobby Witt Jr.,636,709,211,123,45,11,32,106,57,15.0,8.0,0.332,0.588,0.389,0.977,0.315,0.577,0.41,0.407,0.378,0.262,74.7,48.2,20.3,15.9,34.8,27.4,7.1,16,92.7,15.1,35.7,14.3,48.3,103.972880446,96.499868141,22.3,51.2
"Rojas, Josh",Mariners,3,3100000,,0,0.0,Josh Rojas,422,476,95,66,19,2,8,108,46,22.7,9.7,0.225,0.336,0.304,0.64,0.223,0.35,0.286,0.293,0.304,0.127,66.6,0.8,10.0,7.7,37.5,29.1,7.3,15,88.2,15.5,35.6,5.7,38.2,97.946263631,93.225198599,24.4,45.6
"Heim, Jonah",Rangers,C,3050000,,0,0.0,Jonah Heim,459,491,101,75,12,1,13,90,26,18.3,5.3,0.22,0.336,0.267,0.603,0.228,0.356,0.265,0.277,0.275,0.128,70.2,9.7,11.2,9.0,34.6,27.7,7.4,9,88.5,14.5,29.9,5.9,36.4,98.507122973,93.44020477,20.7,54.3
"Duvall, Adam",Braves,OF,3000000,,0,0.0,Adam Duvall,303,330,55,34,10,0,11,99,21,30.0,6.4,0.182,0.323,0.245,0.568,0.197,0.387,0.252,0.283,0.26,0.19,72.4,23.1,13.6,9.9,26.7,19.5,7.6,3,86.9,22.2,27.8,10.7,36.6,99.791319515,93.950920683,27.7,49.0
"Maile, Luke",Reds,C,3000000,,0,0.0,Luke Maile,135,154,24,18,4,0,2,52,13,33.8,8.4,0.178,0.252,0.268,0.52,0.177,0.252,0.241,0.241,0.268,0.075,67.7,1.3,5.3,3.9,27.6,20.3,6.7,7,84.7,11.3,37.6,3.5,24.7,95.22202881,91.660711687,28.8,45.2
"McCormick, Chas",Astros,OF,2850000,,0,0.0,Chas McCormick,242,267,51,39,6,1,5,72,17,27.0,6.4,0.211,0.306,0.271,0.577,0.223,0.355,0.257,0.285,0.284,0.132,70.8,12.4,10.3,7.2,28.8,20.3,7.5,5,86.2,15.2,32.2,7.5,32.8,97.920374118,93.001741775,31.3,53.2
"Keith, Colt",Tigers,2,2833333,6,28642500,4773750.0,Colt Keith,516,556,134,102,15,4,13,110,36,19.8,6.5,0.26,0.38,0.309,0.689,0.266,0.393,0.301,0.311,0.316,0.126,71.3,14.8,12.5,9.7,35.0,27.2,6.7,14,87.8,11.3,34.6,5.6,35.3,98.472613627,93.330372181,23.2,48.6
