"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Stroman, Marcus",573186,2024,33,"30","154.2",675,603,167,116,28,4,19,113,60,16.7,8.9,".277",".431",".349","0.780",".271",".430",".341",".340",".344",".159","72.1",24.4,16.3,13.4,34.4,28.4,"7.4",19,"89.3","9.9",35.5,6.7,40.2,"78.437503663","94.344487814",20.4,43.9
"Gilbert, Logan",669302,2024,27,"33","208.2",803,756,148,82,39,1,26,220,37,27.4,4.6,".196",".353",".236","0.589",".224",".369",".255",".276",".263",".145","71.7",24.8,15,10.6,36,25.5,"7.5",34,"89.6","12.6",33,7.2,39.3,"78.976067127","94.386132799",31.7,50.4
"Sauer, Matt",669422,2024,25,"14","16.1",84,71,23,15,4,1,3,9,11,10.7,13.1,".324",".535",".417","0.952",".261",".466",".408",".364",".367",".206","71.4",23.1,7,6,30.4,26.1,"7.3",1,"90.2","20.6",33.3,9.5,42.9,"81.27310375","93.931096349",15.9,48
"Floro, Dylan",571670,2024,33,"66","68.2",279,258,65,50,10,0,5,48,17,17.2,6.1,".252",".349",".299","0.648",".261",".389",".285",".307",".309",".128","71.5",20.3,15.3,12.6,41.2,34,"7.3",4,"90.2","10.9",34.3,4.2,39,"80.702774615","94.144938798",18.4,42.1
"Mazur, Adam",800049,2024,23,"8","33.2",158,133,40,22,11,1,6,22,21,13.9,13.3,".301",".534",".399","0.933",".277",".433",".399",".360",".381",".156","71.5",23.7,13.1,10.8,39.3,32.3,"7.4",3,"90.7","19.6",38.1,6.2,38.9,"81.676084386","94.167105398",18.4,43.8
"Ramírez, Erasmo",541640,2024,34,"13","20.2",85,73,12,6,1,0,5,15,10,17.6,11.8,".164",".384",".271","0.655",".204",".446",".282",".326",".308",".242","72.3",25.8,12,9.4,36,28.1,"7.4",3,"88","17.9",32.2,15.3,32.2,"78.473914667","92.818081525",23.4,46.7
"Heller, Ben",621294,2024,32,"8","12.0",66,54,19,14,3,1,1,15,6,22.7,9.1,".352",".500",".470","0.970",".266",".398",".423",".357",".399",".132","70.3",14.9,14.5,10.3,37.1,26.4,"7.6",2,"89.2","13.6",41,7.7,46.2,"78.961229","94.345303846",29.6,42.4
"Cabrera, Edward",665795,2024,26,"20","96.1",417,361,82,54,12,1,15,107,49,25.7,11.8,".227",".391",".326","0.717",".243",".419",".317",".335",".340",".176","72.4",26.9,14.5,10.8,28.7,21.3,"7.4",20,"89.7","10",32.4,8.6,45.7,"78.09417746","94.921917421",28,45.5
"Myers, Tobias",668964,2024,25,"27","138.0",569,520,126,88,19,1,18,127,36,22.3,6.3,".242",".387",".295","0.682",".251",".419",".297",".317",".306",".168","71.9",23.4,14.8,11.7,32,25.4,"7.3",15,"89.8","16.4",36.4,8,38.7,"79.298209695","94.361623995",21.3,49.6
"Skenes, Paul",694973,2024,22,"23","133.0",514,475,94,69,14,1,10,170,32,33.1,6.2,".198",".295",".257","0.552",".193",".297",".247",".248",".253",".105","70.9",20,9.3,6.7,27.5,19.9,"7.3",19,"87.8","8.4",27.8,5.2,36.3,"76.618528618","93.629853102",28.7,49.8
"Moore, Matt",519043,2024,35,"51","48.1",210,179,39,22,6,0,11,41,26,19.5,12.4,".218",".436",".324","0.760",".216",".405",".329",".318",".322",".189","71.5",22.2,13,9.5,32.8,23.9,"7.4",1,"88.8","23",38.3,9.2,35.5,"78.595674559","93.797852941",26.7,48.6
"Kerkering, Orion",689147,2024,23,"64","63.0",257,229,51,37,12,0,2,74,17,28.8,6.6,".223",".301",".297","0.598",".220",".320",".271",".278",".295",".099","70.6",17.9,10.8,7.9,32,23.3,"7.3",9,"87.3","5.4",32.3,5.1,33.5,"76.377573846","93.15931271",27.8,45.4
"Burrows, Mike",681347,2024,24,"1","3.1",14,11,2,1,0,0,1,2,3,14.3,21.4,".182",".455",".357","0.812",".249",".475",".357",".391",".410",".226","71.3",23.3,11.5,10,15.4,13.3,"7.5",0,"90.1","21.4",11.1,11.1,44.4,"80.665072","94.801288889",12.1,48.5
"Means, John",607644,2024,31,"4","20.2",80,76,16,9,4,1,2,16,2,20,2.5,".211",".368",".237","0.605",".268",".469",".259",".332",".298",".201","72.8",27.7,21.2,15.6,37.5,27.7,"7.6",3,"90.9","26.5",39.3,6.6,52.5,"80.289118667","95.433425167",26.3,48.8
"Cronin, Declan",686539,2024,26,"56","70.1",307,274,75,57,16,1,1,72,26,23.5,8.5,".274",".350",".346","0.696",".239",".348",".308",".295",".316",".109","71.3",22.9,17.6,13.5,36.1,27.8,"7.2",12,"89.5","1.6",29.9,4.9,41.7,"77.965516238","94.675264406",26.6,47.3
"Veneziano, Anthony",685107,2024,26,"12","13.1",58,52,16,10,4,1,1,14,3,24.1,5.2,".308",".481",".345","0.826",".262",".404",".349",".310",".308",".142","70.7",18.3,13.1,9.6,36.9,27,"7.1",4,"93.4","17.6",35,5,50,"85.5672635","95.46799375",27.7,53.7
"Robertson, David",502085,2024,39,"68","72.0",297,262,53,42,6,0,5,99,28,33.3,9.4,".202",".282",".291","0.573",".212",".328",".257",".278",".300",".117","71.1",19.3,11.3,8.1,29.7,21.4,"7.2",7,"88.7","9.9",31.1,5.5,37.8,"77.812772805","93.895541534",29.5,43.4
"Jax, Griffin",643377,2024,29,"72","71.0",276,256,47,33,7,3,4,95,15,34.4,5.4,".184",".281",".234","0.515",".187",".307",".227",".240",".237",".120","70.9",15.6,13.7,8.8,33.9,21.8,"7.3",22,"88.2","6.3",23.9,8,38.7,"77.101383951","93.862430186",37.8,52.1
"Williams, Devin",642207,2024,29,"22","21.2",88,75,10,5,4,0,1,38,11,43.2,12.5,".133",".227",".261","0.488",".143",".204",".228",".226",".270",".061","70.7",17.5,7,4.2,18.4,11.1,"7.2",3,"84.2","14.8",29.7,5.4,32.4,"73.454455789","91.882778649",40,47.3
"Wilson, Steven",621051,2024,29,"40","34.2",163,128,29,14,7,0,8,34,26,20.9,16,".227",".469",".362","0.831",".246",".438",".347",".352",".382",".191","71",21.7,11.3,8.7,29.9,23,"7.4",3,"86.6","26.2",34,12,31,"75.720727551","92.836285052",24.7,46.2
