"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Cecconi, Slade",677944,2024,25,"20","77.0",338,313,92,52,23,1,16,64,17,18.9,5,".294",".527",".335","0.862",".256",".449",".366",".327",".304",".193","71.2",20.6,14,11.3,34.8,28.2,"7.2",4,"89","17.9",36,10.3,36.4,"78.3622732","94.005374217",19.6,49
"Pfaadt, Brandon",694297,2024,25,"32","181.2",760,707,183,122,31,6,24,185,42,24.3,5.5,".259",".421",".302","0.723",".246",".397",".312",".301",".292",".151","72.1",26.1,13.9,10.5,33.1,25.1,"7.4",20,"89.4","14.1",33,8.1,39.4,"78.684914866","94.224942476",25.4,49.3
"Winans, Allan",642216,2024,28,"2","7.2",41,37,14,5,5,1,3,4,4,9.8,9.8,".378",".811",".439","1.250",".301",".553",".516",".395",".370",".252","72.5",24.6,17.3,13.8,34.6,27.7,"7.7",0,"85.5","6.1",42.4,15.2,39.4,"72.662781765","93.444431818",26.3,51.7
"Romano, Jordan",605447,2024,31,"15","13.2",62,56,16,9,3,0,4,13,4,21,6.5,".286",".554",".344","0.898",".312",".598",".378",".407",".368",".286","70.7",22.2,22.6,17.3,45.2,34.6,"7.3",1,"91.6","17.7",43.2,13.6,50,"81.778763636","95.639505116",24.3,47.9
"Alzolay, Adbert",640470,2024,29,"18","17.1",75,68,19,12,1,0,6,13,6,17.3,8,".279",".559",".347","0.906",".292",".548",".387",".388",".358",".257","71.8",22.8,16.9,13.2,37.1,28.9,"7.4",4,"92","16.8",40,16.4,38.2,"83.454741786","94.499834727",22.9,46.5
"Roberts, Ethan",681799,2024,26,"21","26.2",118,107,31,24,3,1,3,26,10,22,8.5,".290",".421",".356","0.777",".257",".399",".341",".320",".327",".142","71.5",23.9,16.8,12.8,36.4,27.7,"7.3",6,"91","20.6",40.7,7.4,43.2,"81.699473171","94.862840247",27.2,45.8
"Jackson, Luke",592426,2024,32,"52","53.0",235,204,52,36,9,0,7,59,26,25.1,11.1,".255",".402",".342","0.744",".229",".373",".328",".312",".322",".144","71.6",21.1,14.5,10.7,33.7,24.8,"7.4",17,"89.2","8.4",31.8,8.8,39.9,"78.730678904","94.024388356",29.7,47
"Zastryzny, Rob",642239,2024,32,"9","7.2",29,26,4,3,1,0,0,5,1,17.2,3.4,".154",".192",".214","0.406",".151",".231",".190",".203",".211",".081","71.7",25.4,6.8,4.8,18.2,12.7,"7.4",0,"84.8","26.3",28.6,4.8,28.6,"73.602596364","92.367268095",29.2,60.5
"Silseth, Chase",681217,2024,24,"2","8.0",38,33,8,4,1,0,3,12,4,31.6,10.5,".242",".545",".324","0.869",".282",".524",".370",".379",".360",".242","73.3",33.3,19,13.3,38.1,26.7,"7.6",0,"92.7","16.9",61.9,14.3,47.6,"82.748367273","96.314221905",32.4,42.5
"Barlow, Scott",605130,2024,31,"63","55.0",241,204,44,27,11,0,6,68,31,28.2,12.9,".216",".358",".328","0.686",".231",".363",".306",".315",".341",".132","70.8",18.3,11.4,8.1,30.2,21.5,"7.6",13,"86.2","9",33.3,5.8,32.6,"73.846792464","93.298851159",33.6,42.6
"Lucchesi, Joey",664192,2024,31,"2","10.1",46,37,8,4,3,0,1,7,8,15.2,17.4,".216",".378",".356","0.734",".267",".433",".330",".371",".397",".167","73",31.3,22,19.4,35.6,31.3,"7.2",1,"94.9","11.8",29,9.7,54.8,"86.337135333","96.97477069",12.7,44.1
"Nittoli, Vinny",657697,2024,33,"9","12.0",46,44,10,7,2,0,1,8,2,17.4,4.3,".227",".341",".261","0.602",".236",".386",".263",".284",".269",".150","71.5",25.3,11.7,8.4,45,32.5,"7.1",1,"91.5","23.7",25,5.6,41.7,"82.800598889","94.356776111",29.2,53.9
"Lee, Dylan",669276,2024,29,"52","59.2",240,221,49,30,11,1,7,76,17,31.7,7.1,".222",".376",".276","0.652",".198",".330",".277",".250",".255",".131","71.7",23.5,11.6,7.3,30.5,19.3,"7.8",13,"87.5","16.8",35.4,7.5,32,"76.755771507","93.202362621",37.7,57.4
"McDonald, Trevor",686790,2024,23,"1","3.0",10,9,0,0,0,0,0,1,1,10,10,".000",".000",".100","0.100",".141",".158",".069",".191",".227",".017","72.2",26.3,6.3,5.3,25,21.1,"7.5",0,"85.3","-9.8",0,0,12.5,"77.6320825","90.64472375",15,51.3
"King, Michael",650633,2024,29,"31","173.2",726,653,144,98,27,2,17,201,63,27.7,8.7,".221",".346",".296","0.642",".226",".360",".284",".293",".301",".134","71.5",22.7,9.3,6.7,26,18.7,"7.4",25,"85.7","13.8",35.2,6.2,30.3,"73.981359732","92.671656987",29.3,45.4
"Maile, Luke",571912,2024,33,"3","3.2",18,17,6,1,3,1,1,0,0,0,0,".353",".824",".333","1.157",".316",".662",".460",".403",".309",".347","73.4",33.3,31.3,27.8,40.6,36.1,"7.2",0,"90.8","21.7",33.3,11.1,55.6,"82.233921111","94.860492222",10,61.5
"McDermott, Chayce",694646,2024,25,"1","4.0",18,15,5,4,0,0,1,3,2,16.7,11.1,".333",".533",".389","0.922",".323",".590",".386",".416",".398",".267","68.5",8.3,22.2,16.7,40.7,30.6,"7.2",0,"96.6","13.3",15.4,7.7,69.2,"91.054854286","97.476692308",25.6,52.4
"Snead, Kirby",669912,2024,29,"11","10.1",48,41,12,7,4,1,0,7,7,14.6,14.6,".293",".439",".396","0.835",".261",".367",".367",".332",".369",".105","70.9",13,17.6,13,39.2,29,"7.1",1,"88.3","1.6",20.6,2.9,41.2,"76.188721176","94.601324545",26.3,40.8
"Wicks, Jordan",696136,2024,24,"11","46.0",212,189,55,35,10,1,9,42,20,19.8,9.4,".291",".497",".365","0.862",".267",".450",".373",".347",".343",".183","71.2",21.3,13.1,10.6,32.2,26.1,"7.3",6,"89.4","14.9",35.8,8.8,39.9,"78.570555616","94.331509178",23.4,50.2
"Wilson, Justin",458677,2024,36,"60","46.2",209,192,55,35,10,0,10,51,13,24.4,6.2,".286",".495",".335","0.830",".245",".439",".354",".318",".299",".195","72",24.3,12.9,9.7,28,21,"7.1",8,"88.6","17.8",35.7,11.2,41.3,"76.709771268","94.558569007",25.1,55.1
"Rasmussen, Drew",656876,2024,28,"16","28.2",116,109,25,20,5,0,0,35,6,30.2,5.2,".229",".275",".267","0.542",".193",".253",".242",".219",".233",".060","70.9",18.2,10.2,7.2,33.1,23.2,"7",10,"86.2","6.6",24,0,36,"74.485188947","93.140661333",31.4,47.9
"Pallante, Andre",669467,2024,25,"29","121.1",509,458,110,81,21,0,8,94,48,18.5,9.4,".240",".338",".315","0.653",".232",".328",".293",".289",".310",".096","71.6",22.1,11.3,9.2,29.9,24.3,"7.1",17,"87.4","1.1",24.4,3.3,38.1,"75.339766989","93.795724801",19.8,46.4
"McGreevy, Michael",700241,2024,23,"4","23.0",86,83,16,11,3,1,1,18,2,20.9,2.3,".193",".289",".221","0.510",".263",".384",".223",".294",".288",".121","71.4",19.7,15.2,11.8,33.3,26,"7",4,"87.3","-3.3",30.8,4.6,33.8,"76.176007813","93.186303281",22.9,46.3
"Rodón, Carlos",607074,2024,31,"32","175.0",736,667,157,90,32,4,31,195,57,26.5,7.7,".235",".435",".304","0.739",".227",".421",".320",".314",".298",".194","71.8",25,12.8,9.2,31.9,22.8,"7.4",37,"90.4","18.1",34.6,11,40.9,"80.220048043","94.543522745",30.1,49.4
"Marte, José",665896,2024,28,"14","19.1",80,68,14,9,4,0,1,14,10,17.5,12.5,".206",".309",".313","0.622",".246",".348",".283",".325",".358",".102","72.6",24.1,12.5,9.5,34.1,25.9,"7.4",6,"88.1","4.7",23.6,3.6,36.4,"77.488165","93.576986",27.1,45
"Shuster, Jared",694363,2024,25,"39","73.1",321,283,74,51,13,1,9,56,33,17.4,10.3,".261",".410",".333","0.743",".268",".422",".324",".333",".339",".155","71.2",19.6,11.2,8.7,32.1,25,"7.4",10,"87.5","17.6",37.9,7.3,31.9,"76.890127391","93.046398952",23.4,47.3
"Feltner, Ryan",663372,2024,27,"30","162.1",692,628,165,116,27,2,20,138,52,19.9,7.5,".263",".408",".324","0.732",".255",".410",".320",".320",".319",".155","71.5",21.6,13.8,10.7,34.5,26.6,"7.3",18,"88.1","11.9",33.1,6.5,36.8,"76.695048857","93.803345297",23.9,48.1
"Banda, Anthony",607455,2024,30,"48","49.2",209,185,44,34,4,1,5,50,18,23.9,8.6,".238",".351",".309","0.660",".227",".358",".281",".281",".300",".132","71",19,14,10.2,34.4,25.1,"7.2",16,"88.3","11.9",30.9,6.5,38.8,"76.74134209","94.107629851",30,52.2
"Burke, Brock",656271,2024,27,"34","34.0",154,135,37,20,12,1,4,41,16,26.6,10.4,".274",".467",".357","0.824",".226",".330",".352",".290",".319",".104","71.2",21.5,12.1,8.8,28.4,20.7,"7.3",3,"90.1","12.6",30.5,4.2,41.1,"80.677251667","94.312216211",29.1,52.5
"Cuas, Jose",621016,2024,30,"13","16.1",83,67,19,13,1,1,4,17,10,20.5,12,".284",".507",".410","0.917",".268",".520",".394",".394",".398",".252","71.4",19.8,13.7,10.4,42.5,32.3,"7.1",1,"92.8","15.6",35.3,11.8,43.1,"84.869879231","94.905666078",28.4,44.2
"Rodriguez, Grayson",680570,2024,24,"20","116.2",491,449,109,68,24,2,15,130,36,26.5,7.3,".243",".405",".305","0.710",".230",".386",".310",".299",".294",".156","71.4",21.8,13.1,9.6,32.1,23.4,"7.3",17,"89.2","13.4",36.9,7.8,39.7,"78.512590063","94.106694844",30,50.2
"Castellanos, Humberto",528748,2024,26,"7","10.1",48,41,11,8,3,0,0,7,4,14.6,8.3,".268",".341",".354","0.695",".310",".397",".313",".353",".394",".087","71.3",23.5,16.2,13.6,33.8,28.4,"7",0,"86.9","18.9",48.6,0,37.1,"75.173592222","93.806387714",15.6,48.4
"Sammons, Bryan",676614,2024,29,"6","27.1",104,94,16,8,2,0,6,18,9,17.3,8.7,".170",".383",".250","0.633",".214",".464",".277",".325",".290",".250","71.3",24.6,10.3,8,32.4,25.1,"7.4",1,"87.4","27",36.8,9.2,31.6,"77.304880789","92.844556533",23.3,50.5
"Ellard, Fraser",686642,2024,26,"25","24.0",101,85,18,12,3,0,3,26,12,25.7,11.9,".212",".353",".307","0.660",".238",".370",".280",".306",".335",".132","71.2",21.1,11.9,9,31,23.5,"7.1",3,"90.1","11",35.5,6.5,40.3,"80.226913548","94.274328387",25.5,42.6
"Weathers, Ryan",677960,2024,24,"16","86.2",367,331,78,49,18,0,11,80,24,21.8,6.5,".236",".390",".303","0.693",".244",".408",".303",".316",".311",".164","71.7",27.1,13,9.9,34.8,26.4,"7.3",9,"89.5","10.4",32.7,8.3,38.2,"78.779545952","94.321363147",26.1,46.4
"Bello, Brayan",678394,2024,25,"30","162.1",702,622,157,107,31,0,19,153,64,21.8,9.1,".252",".394",".330","0.724",".256",".400",".319",".328",".336",".144","71.9",23.5,14.7,11.1,32.7,24.6,"7.4",23,"88.5","6.2",34.2,7.4,41.1,"76.384630975","94.524067665",25.9,46.3
"Hernandez, Nick",663321,2024,29,"5","8.0",34,33,10,6,0,0,4,10,1,29.4,2.9,".303",".667",".324","0.991",".269",".421",".417",".309",".290",".152","70.5",16.7,13.2,10.4,23.7,18.8,"7.3",2,"82.9","15.5",39.1,4.3,30.4,"69.572226667","92.681946087",29.2,46.8
"Law, Derek",571882,2024,33,"75","90.0",365,333,82,63,11,1,7,76,24,20.8,6.6,".246",".348",".294","0.642",".258",".362",".282",".298",".309",".103","71.5",20.3,11.7,8.4,33.7,24.3,"7.5",14,"88.2","9",34.5,3.8,35.2,"77.850689847","93.340480649",28.6,49.9
"Fairbanks, Pete",664126,2024,30,"46","45.1",185,166,36,28,4,0,4,44,17,23.8,9.2,".217",".313",".288","0.601",".255",".395",".265",".312",".323",".139","71.1",19.9,15.5,12.6,36,29.3,"7.3",5,"89.1","15.3",31.5,5.6,41.1,"78.057306066","94.449698443",21.8,44.8
"Miller, Tyson",668338,2024,28,"58","62.0",235,217,39,24,8,0,7,54,11,23,4.7,".180",".313",".235","0.548",".220",".388",".242",".287",".272",".169","71.3",22.4,12.2,9.3,31.8,24.1,"7.3",6,"88.2","20.3",33.3,7.9,34.5,"77.718869756","93.500990798",26.5,52.1
"Parker, Mitchell",680730,2024,24,"29","151.0",646,595,154,103,31,2,18,133,43,20.6,6.7,".259",".408",".309","0.717",".256",".434",".311",".322",".308",".178","72.2",26.8,14,11,34.5,27.2,"7.4",19,"89.6","15.3",35.3,8.1,38.9,"79.509350699","94.140672817",22.3,51.4
"Williams, Trevor",592866,2024,32,"13","66.2",260,238,51,39,8,1,3,59,18,22.7,6.9,".214",".294",".265","0.559",".216",".345",".248",".277",".273",".129","72.1",25.7,14.6,11.4,32.4,25.3,"7.3",4,"89.4","13.4",31.7,6.6,39.3,"79.537256264","93.835962143",22.5,46.7
"Brewer, Colten",605155,2024,31,"16","20.2",95,82,24,16,6,1,1,22,9,23.2,9.5,".293",".427",".358","0.785",".254",".391",".339",".322",".329",".137","71.2",20.7,10.7,8,29.5,22,"7.3",5,"87.2","11.9",31.7,7.9,30.2,"76.771774839","92.861118852",26.3,44.8
"Matsui, Yuki",673513,2024,28,"64","62.2",257,226,46,25,10,3,8,69,27,26.8,10.5,".204",".381",".284","0.665",".203",".325",".283",".267",".285",".122","71.8",22.8,12.3,8.4,30.5,20.8,"7.5",7,"88.5","18.2",30.4,6.8,37.3,"77.502376296","93.964574969",31.9,50.4
"Blalock, Bradley",687134,2024,23,"7","30.2",147,126,35,20,10,1,4,20,20,13.6,13.6,".278",".468",".381","0.849",".295",".482",".371",".384",".397",".187","71.7",24.5,18.4,14.4,37.4,29.3,"7.3",1,"90.5","14.3",42.5,10.4,47.2,"79.473810943","95.306191714",20.6,46.6
"Halvorsen, Seth",678020,2024,24,"12","12.1",46,43,8,6,0,0,2,13,2,28.3,4.3,".186",".326",".239","0.565",".196",".326",".250",".255",".248",".130","70.1",11.3,14,9.9,34,23.9,"7.1",3,"92.4","16.2",26.7,6.7,46.7,"83.160574667","95.304083333",31.8,49.4
"Avila, Pedro",658648,2024,27,"54","82.2",353,306,73,50,14,1,8,82,36,23.2,10.2,".239",".369",".321","0.690",".261",".402",".304",".330",".344",".142","71.8",22.8,14.5,11.1,33.5,25.5,"7.4",6,"89.6","9.6",39.4,5.2,41.6,"79.151353304","94.361042314",25,46.4
"Warren, Will",701542,2024,25,"6","22.2",110,97,33,17,11,0,5,29,10,26.4,9.1,".340",".608",".404","1.012",".248",".427",".428",".327",".323",".178","71.5",21.8,13.3,10.1,38.5,29.1,"7.4",2,"92.7","14.9",39.1,11.6,50.7,"84.915092","95.202841594",25.8,42.4
"Saucedo, Tayler",642048,2024,31,"53","38.2",166,146,35,26,4,2,3,38,18,22.9,10.8,".240",".356",".331","0.687",".214",".307",".301",".275",".309",".092","71.9",24.9,11.3,8.5,32.7,24.4,"7.5",8,"85.2","7.3",25.9,4.6,27.8,"73.522157963","92.556282336",28.1,46
"Quintana, Jose",500779,2024,35,"31","170.1",717,634,150,96,29,3,22,135,63,18.8,8.8,".237",".396",".314","0.710",".257",".407",".312",".327",".334",".150","71.9",26.1,16,12.7,36.8,29,"7.4",25,"88","10.7",32.9,6.7,38.2,"76.44604848","93.89600374",22.2,43.1
"Kershaw, Clayton",477132,2024,36,"7","30.0",133,119,36,26,7,1,2,24,9,18,6.8,".303",".429",".353","0.782",".287",".407",".336",".329",".346",".120","72.5",30.1,19.5,15.7,34.5,27.8,"7.6",5,"90.4","14.1",38.8,4.1,40.8,"79.444124082","94.903124433",21.7,50.2
"Senzatela, Antonio",622608,2024,29,"3","12.1",54,46,15,10,1,1,3,7,8,13,14.8,".326",".587",".426","1.013",".318",".613",".432",".436",".419",".295","72.2",30.4,15.2,12.7,28.8,24.1,"7.2",1,"89.9","16.5",43.6,15.4,46.2,"78.5215785","94.745833846",17.6,41.7
"Ottavino, Adam",493603,2024,38,"60","56.0",245,213,49,34,8,1,6,70,23,28.6,9.4,".230",".362",".324","0.686",".198",".318",".305",".278",".296",".120","70.8",17.9,10.1,7.6,29.5,22.1,"7.3",4,"87.1","13.6",34,7.6,34.7,"75.411897639","93.510556364",25.7,43.5
"Vodnik, Victor",680767,2024,24,"64","73.2",320,280,72,55,6,4,7,65,37,20.3,11.6,".257",".382",".345","0.727",".256",".423",".322",".338",".346",".167","70.6",16.2,13.6,10.7,35.9,28.2,"7.1",8,"91.3","4.5",27.6,7.8,49.3,"81.212304393","95.271991729",21.8,44.1
"Springs, Jeffrey",605488,2024,31,"7","33.0",142,129,34,24,5,0,5,37,11,26.1,7.7,".264",".419",".324","0.743",".227",".367",".324",".297",".295",".140","71.3",23.1,16.6,12,34.4,24.9,"7.4",4,"89.3","15.9",38.7,9.7,46.2,"79.04063587","94.027314674",29.9,48.5
"Gillaspie, Logan",670810,2024,27,"9","11.1",49,47,15,10,3,0,2,7,0,14.3,0,".319",".511",".327","0.838",".288",".494",".355",".338",".300",".206","71.7",24.7,22.7,18.5,42.4,34.6,"7.2",1,"90.6","15.2",46.3,7.3,48.8,"80.012940476","95.34536439",17.2,61.6
"Romero, JoJo",668941,2024,27,"65","59.0",243,220,52,33,11,0,8,51,16,21,6.6,".236",".395",".302","0.697",".271",".459",".305",".346",".334",".188","71.6",22.3,20.6,16.2,43.7,34.4,"7.4",9,"89.9","7.9",34.5,10.5,39.8,"79.342751566","94.412021758",25.4,43.7
"Gore, MacKenzie",669022,2024,25,"32","166.1",731,649,171,117,36,3,15,181,65,24.8,8.9,".263",".398",".339","0.737",".252",".378",".324",".316",".330",".126","71.7",22.6,9.7,7.1,27.6,20.2,"7.2",23,"88","13.5",36.2,6.8,38.1,"76.776975684","93.73951438",28.6,50.4
"Roycroft, Chris",688297,2024,27,"27","34.1",155,130,31,22,5,2,2,33,17,21.3,11,".238",".354",".338","0.692",".222",".299",".309",".288",".325",".077","71",20.5,9.8,7.7,27.7,21.8,"6.9",4,"86.9","1",25.7,2,33.7,"75.127196735","93.446520825",22.1,45.6
"Jobe, Jackson",695549,2024,21,"2","4.0",16,14,1,1,0,0,0,2,1,12.5,6.3,".071",".071",".133","0.204",".215",".273",".105",".245",".267",".058","70.4",13.5,6.5,5.4,41.9,35.1,"7.4",1,"88.1","12.6",41.7,0,33.3,"79.584458333","92.6554075",9.5,43.8
"Santana, Dennis",642701,2024,28,"62","71.2",287,259,57,33,18,2,4,69,21,24,7.3,".220",".351",".287","0.638",".223",".333",".281",".277",".289",".111","70.7",16.2,9.4,6.8,31.3,22.6,"7.5",7,"86.3","14.3",37.3,4.7,32.6,"75.299087917","92.748697016",28.2,50.7
"Ryan, Ryder",656924,2024,29,"15","20.2",93,78,21,13,5,1,2,17,9,18.3,9.7,".269",".436",".359","0.795",".269",".451",".346",".358",".363",".181","72.6",27.4,17.6,14.5,36.3,29.8,"7.7",3,"90.2","15.9",36.5,11.1,44.4,"79.664268065","94.773042295",23.5,52.6
"Gonzales, Marco",594835,2024,32,"7","33.2",151,138,43,30,8,0,5,23,11,15.2,7.3,".312",".478",".360","0.838",".309",".535",".362",".383",".359",".226","71.9",23.7,18.5,14.9,37.6,30.2,"7.4",1,"90.9","15.1",41,11.1,43.6,"80.250298393","95.046505893",17.8,51.5
"Henriquez, Ronny",678692,2024,24,"16","19.1",82,75,20,16,1,1,2,15,5,18.3,6.1,".267",".387",".329","0.716",".276",".458",".312",".345",".338",".182","71.6",22.8,10.2,7.9,36.7,28.3,"7.4",6,"91.7","7.4",30,8.3,50,"82.812493667","94.925911833",24.3,50.2
"Rogers, Trevor",669432,2024,26,"25","124.1",562,491,140,86,37,3,14,97,56,17.3,10,".285",".458",".357","0.815",".275",".436",".350",".347",".353",".161","72.1",26.2,16.7,13.5,34.7,28.1,"7.4",12,"90.7","10.4",33.3,8.4,44.4,"80.391399303","94.92394505",20.9,46.2
"Aguiar, Julian",687924,2024,23,"7","31.2",140,123,30,16,6,0,8,19,12,13.6,8.6,".244",".488",".336","0.824",".234",".454",".354",".340",".327",".221","72.3",29.8,13.9,11.4,30.3,24.9,"7.3",1,"88.9","18",31.7,11.5,35.6,"77.876400196","94.014541373",18.6,49.6
"Iglesias, Raisel",628452,2024,34,"66","69.1",259,238,38,27,5,2,4,68,13,26.3,5,".160",".248",".211","0.459",".195",".292",".200",".233",".244",".097","71.5",20.1,11.7,8.1,33.3,23.1,"7.4",8,"86","14.2",25.7,4,30.9,"74.387969302","92.798374269",31.5,52.3
"White, Owen",669391,2024,24,"3","3.0",18,17,9,5,3,0,1,0,1,0,5.6,".529",".882",".556","1.438",".409",".539",".606",".426",".442",".130","68.9",10,17.2,16.7,41.4,40,"7.1",0,"91.6","11.2",41.2,0,52.9,"82.194047778","95.610831765",5.7,50.7
"Brazobán, Huascar",623211,2024,34,"39","51.2",217,189,38,30,3,3,2,51,25,23.5,11.5,".201",".280",".304","0.584",".226",".318",".269",".296",".326",".092","71.8",22,6.1,4.4,19.4,14,"7.7",8,"82.3","10.4",33.3,4.3,24.6,"69.777538551","91.723285328",30,48.5
"Honeywell Jr., Brent",641703,2024,29,"20","37.2",150,132,32,21,8,0,3,18,12,12,8,".242",".371",".311","0.682",".281",".421",".300",".338",".347",".141","70.7",19.8,14.3,12.1,33.8,28.8,"7.1",7,"88.3","14",39,5.1,39.8,"77.165601207","93.884121293",15.3,46.2
"Germán, Domingo",593334,2024,31,"7","20.2",100,84,25,19,2,0,4,18,13,18,13,".298",".464",".404","0.868",".268",".436",".379",".358",".379",".167","71.6",19.5,11.9,9.8,32.1,26.2,"7.6",1,"88.9","23.7",34.8,7.6,36.4,"79.012760606","93.518192273",20.3,48.8
"Kuhnel, Joel",669270,2024,29,"6","10.0",39,38,8,5,2,0,1,5,0,12.8,0,".211",".342",".231","0.573",".264",".404",".248",".299",".282",".140","71",21.9,13.8,11,29.3,23.3,"7.2",0,"88.5","12.1",30.3,6.1,39.4,"77.312104706","94.174274242",22.2,51.3
"Pepiot, Ryan",686752,2024,26,"26","130.0",539,481,102,65,18,2,17,142,48,26.3,8.9,".212",".364",".292","0.656",".216",".371",".290",".295",".296",".155","71.7",24,11.6,8.3,31.7,22.6,"7.2",26,"89.3","19.1",31.4,9.1,37.2,"79.441531647","93.814038824",29.9,48
"Salazar, Eduardo",674285,2024,26,"26","29.1",133,118,34,26,6,0,2,27,14,20.3,10.5,".288",".390",".368","0.758",".281",".398",".338",".339",".362",".117","72.3",29.9,19.9,15.7,32.1,25.4,"7.2",4,"88.4","5.8",28.6,4.4,42.9,"74.491358478","95.377835385",23.2,45.3
"Shugart, Chase",663767,2024,27,"6","8.2",36,33,8,6,1,0,1,8,3,22.2,8.3,".242",".364",".306","0.670",".224",".349",".296",".283",".289",".126","71.2",22.5,6.8,5.6,20.3,16.9,"7.3",0,"86.3","23.6",40,4,32,"75.735655385","92.6712644",17.5,56.3
"Woo, Bryan",693433,2024,24,"22","121.1",472,454,96,67,15,0,14,101,13,21.4,2.8,".211",".337",".237","0.574",".220",".339",".249",".257",".247",".119","71.1",17.1,12,9.2,36.2,27.8,"7",12,"88.8","15.6",29.9,4.8,35.2,"78.763161534","93.508315157",23.6,53.3
"Wesneski, Hayden",669713,2024,26,"28","67.2",283,260,56,34,10,0,12,67,21,23.7,7.4,".215",".392",".279","0.671",".233",".427",".293",".315",".296",".193","71.8",25.8,13.8,11,32.3,25.8,"7.4",19,"87.6","10.8",32.6,9.3,36.8,"75.673705104","93.85465901",25.7,45.6
"Ramirez, Nick",598286,2024,34,"8","13.1",63,54,18,13,5,0,0,5,7,7.9,11.1,".333",".426",".397","0.823",".336",".533",".353",".410",".412",".197","71.3",14.8,23.9,19.8,52.2,43.2,"7.6",1,"92.7","9.5",37.3,9.8,51,"83.661204615","95.811534118",19.6,47.4
"Bolton, Cody",675989,2024,26,"17","18.2",83,73,18,11,3,1,3,17,9,20.5,10.8,".247",".438",".325","0.763",".234",".377",".330",".306",".316",".144","71.8",23.2,10.8,8.1,29.7,22.2,"7.3",1,"87","15.1",33.3,7,35.1,"75.299181379","93.526030877",24.8,42.6
"Taylor, Troy",700187,2024,22,"21","19.1",81,74,15,7,4,0,4,25,7,30.9,8.6,".203",".419",".272","0.691",".205",".352",".299",".278",".273",".147","71.5",21.1,14.8,10.6,27.3,19.5,"7.3",5,"85.7","16.5",34.7,14.3,34.7,"72.22566875","93.65286625",29.6,43.3
"Whitlock, Garrett",676477,2024,28,"4","18.1",75,66,14,9,4,0,1,17,7,22.7,9.3,".212",".318",".297","0.615",".254",".399",".278",".326",".335",".146","71.8",17.7,12,10.4,31.3,27.1,"7.2",4,"89.4","10.6",44,6,36,"79.309856667","94.016792708",17,45.8
"Eflin, Zach",621107,2024,30,"28","165.1",684,653,166,114,28,2,22,134,24,19.6,3.5,".254",".404",".283","0.687",".249",".405",".297",".297",".279",".157","71.5",22.3,15.4,12.4,34.9,27.9,"7.4",22,"88.1","13.3",30,7.5,36.1,"76.388751434","94.040596667",21.6,50
"Manoah, Alek",666201,2024,26,"5","24.1",103,90,17,10,2,0,5,26,8,25.2,7.8,".189",".378",".282","0.660",".217",".406",".291",".314",".307",".189","70.7",11.7,13.9,10.4,32.8,24.5,"7.2",4,"88.6","16.3",35.4,10.8,35.4,"78.062978788","93.795717077",28.2,47.7
"Hernández, Jonathan",642546,2024,27,"29","43.1",192,160,41,26,8,1,6,39,28,20.3,14.6,".256",".431",".366","0.797",".242",".400",".348",".334",".356",".158","71.5",24.3,13.2,9.5,30.7,22.1,"7.7",8,"89.2","6.9",33.9,8.9,39.5,"78.601073871","94.181991138",30.1,46.7
"Herget, Kevin",643361,2024,33,"7","11.1",43,40,6,3,2,0,1,9,3,20.9,7,".150",".275",".209","0.484",".268",".477",".216",".346",".319",".208","70.4",14.1,22.9,17.2,41.7,31.3,"7.4",0,"89.2","18.7",25.8,12.9,48.4,"77.426704667","95.004030667",22.2,47.7
"Burdi, Nick",595897,2024,31,"12","9.2",45,34,5,4,0,0,1,12,9,26.7,20,".147",".235",".356","0.591",".155",".234",".294",".297",".362",".079","71.4",23.2,4.7,3.6,20.9,16.1,"7.3",0,"84","30.2",31.8,4.5,31.8,"70.793199091","92.596190455",26.7,41
"Hicks, Jordan",663855,2024,27,"29","109.2",481,423,112,75,23,2,12,96,47,20,9.8,".265",".414",".349","0.763",".258",".423",".336",".339",".344",".165","71.5",20.4,14.9,11.4,34.5,26.3,"7.5",8,"89.6","8.9",34.7,9.4,42.2,"78.413726111","94.634853364",24.6,44.3
"Vesia, Alex",681911,2024,28,"67","66.1",263,223,33,16,9,1,7,87,33,33.1,12.5,".148",".291",".260","0.551",".157",".319",".246",".260",".267",".163","71.5",24.9,8.4,6,25.4,18.1,"7.2",12,"87.5","30",29.3,12.1,35,"76.246164853","93.468041029",31.3,47.5
"Snider, Collin",676092,2024,28,"42","41.2",169,156,36,23,8,0,5,47,13,27.8,7.7,".231",".378",".290","0.668",".251",".400",".288",".308",".309",".149","70.8",19,12.2,8.8,26.3,19,"7.1",5,"85.7","16.7",37.6,10.1,36.7,"72.702452407","93.378800187",30.2,52.4
"Jones, Jared",683003,2024,22,"22","121.2",504,456,106,55,29,4,18,132,39,26.2,7.7,".232",".432",".298","0.730",".234",".404",".314",".311",".302",".171","71.7",22.4,12.7,9.2,33.4,24.1,"7.3",19,"89.6","14.5",36.9,9.8,44.5,"79.019910366","94.534128685",30.2,51.6
