Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Latz, Jacob",Rangers,LHP,741000,,0,0.0,Jacob Latz,46,43.2,192,162,39,29,4,0,6,40,27,20.8,14.1,0.241,0.377,0.349,0.726,0.242,0.432,0.318,0.342,0.353,0.19,70.9,17.8,10.8,7.8,30.2,21.8,7.3,7.0,88.0,18.9,30.6,8.9,40.3,76.565029344,93.997906281,28.3,47.4
"Herrin, Tim",Guardians,LHP,740800,,0,0.0,Tim Herrin,75,65.2,257,225,39,28,9,0,2,68,25,26.5,9.7,0.173,0.24,0.27,0.51,0.209,0.319,0.236,0.28,0.301,0.11,70.9,15.4,11.1,8.0,30.1,21.8,7.4,8.0,86.9,7.4,28.3,6.9,36.5,75.234465128,93.348866,29.3,47.0
"Gaddis, Hunter",Guardians,RHP,740700,,0,0.0,Hunter Gaddis,78,74.2,278,259,43,23,14,2,4,66,14,23.7,5.0,0.166,0.282,0.219,0.501,0.2,0.334,0.22,0.257,0.252,0.135,71.8,24.3,10.4,7.8,29.1,21.8,7.4,8.0,88.5,18.8,29.9,5.7,36.6,78.24385866,93.411744536,25.0,51.6
"Kilian, Caleb",Cubs,RHP,740500,,0,0.0,Caleb Kilian,2,10.2,48,41,11,7,2,0,2,7,6,14.6,12.5,0.268,0.463,0.362,0.825,0.272,0.552,0.36,0.394,0.365,0.28,71.7,21.9,16.4,13.7,34.4,28.8,7.3,1.0,89.1,11.6,40.0,14.3,37.1,78.674156471,94.225684848,20.2,50.3
"Little, Luke",Cubs,LHP,740500,,0,0.0,Luke Little,30,26.0,109,86,15,10,4,0,1,28,18,25.7,16.5,0.174,0.256,0.339,0.595,0.188,0.272,0.282,0.295,0.35,0.084,70.7,14.6,13.6,10.7,38.3,30.1,6.9,4.0,87.4,-1.6,15.3,3.4,40.7,75.721074138,93.68350431,26.8,35.8
"O'Brien, Riley",Cardinals,RHP,740450,,0,0.0,Riley O'Brien,8,8.0,46,36,13,8,2,1,2,11,8,23.9,17.4,0.361,0.639,0.478,1.117,0.286,0.44,0.467,0.388,0.425,0.154,69.4,16.1,8.7,7.1,30.4,25.0,7.0,2.0,89.0,17.7,42.3,7.7,42.3,78.471166923,93.778012692,27.3,39.7
"Berroa, Prelander",White Sox,RHP,740350,,0,0.0,Prelander Berroa,17,19.0,83,69,15,9,4,0,2,26,13,31.3,15.7,0.217,0.362,0.349,0.711,0.132,0.213,0.318,0.233,0.278,0.081,71.1,16.3,6.2,4.3,17.5,12.1,7.7,6.0,84.4,21.1,25.6,4.7,18.6,74.777498182,91.421739535,34.4,46.0
"Miller, Erik",Giants,LHP,740000,,0,0.0,Erik Miller,73,67.1,284,244,50,32,9,2,7,87,38,30.6,13.4,0.205,0.344,0.313,0.657,0.19,0.298,0.296,0.276,0.301,0.108,70.6,17.1,12.3,8.6,29.2,20.4,7.3,11.0,89.5,10.7,25.3,7.0,41.1,79.08203359,94.208134167,30.6,43.5
"Roupp, Landen",Giants,RHP,740000,,0,0.0,Landen Roupp,23,50.1,217,190,43,28,13,0,2,47,26,21.7,12.0,0.226,0.326,0.323,0.649,0.241,0.355,0.294,0.311,0.336,0.114,71.1,17.2,15.6,11.8,31.7,24.0,7.6,4.0,89.0,10.6,35.0,4.9,39.2,77.580207042,94.250249085,25.3,41.0
"Duarte, Daniel",Twins,RHP,740000,,0,0.0,Daniel Duarte,2,4.0,15,14,2,0,1,0,1,3,1,20.0,6.7,0.143,0.429,0.2,0.629,0.205,0.372,0.266,0.275,0.258,0.167,69.4,10.0,22.2,20.0,44.4,40.0,7.5,1.0,86.1,7.4,27.3,9.1,36.4,73.984298333,93.784564545,22.6,55.4
"Chavez, Jesse",Braves,RHP,740000,,0,0.0,Jesse Chavez,46,63.1,264,241,60,38,11,1,10,55,19,20.8,7.2,0.249,0.427,0.304,0.731,0.263,0.411,0.315,0.318,0.318,0.148,71.7,19.2,13.9,11.7,32.3,27.2,7.3,4.0,87.3,11.1,37.6,6.3,35.4,75.526857447,93.66962262,17.0,42.3
"Jones, Jared",Pirates,RHP,740000,,0,0.0,Jared Jones,22,121.2,504,456,106,55,29,4,18,132,39,26.2,7.7,0.232,0.432,0.298,0.73,0.234,0.404,0.314,0.311,0.302,0.171,71.7,22.4,12.7,9.2,33.4,24.1,7.3,19.0,89.6,14.5,36.9,9.8,44.5,79.019910366,94.534128685,30.2,51.6
"Leasure, Jordan",White Sox,RHP,740000,,0,0.0,Jordan Leasure,33,31.1,142,120,32,18,7,1,6,26,18,18.3,12.7,0.267,0.492,0.362,0.854,0.243,0.424,0.366,0.336,0.342,0.181,71.2,20.2,13.1,9.9,33.9,25.6,7.1,7.0,88.8,17.8,34.0,7.2,35.1,78.728604792,93.544683053,26.6,48.4
"Boyle, Joe",Athletics,RHP,740000,,0,0.0,Joe Boyle,13,47.2,226,179,42,31,6,1,4,56,40,24.8,17.7,0.235,0.346,0.382,0.728,0.215,0.324,0.334,0.321,0.367,0.109,70.4,20.0,9.4,6.9,31.1,22.8,7.1,8.0,88.2,16.2,32.5,4.0,40.5,77.449081746,93.74519008,30.2,39.4
"Medina, Luis",Athletics,RHP,740000,,0,0.0,Luis Medina,8,40.0,180,156,43,29,10,0,4,32,20,17.8,11.1,0.276,0.417,0.356,0.773,0.257,0.406,0.336,0.331,0.343,0.149,71.8,24.1,13.7,11.4,30.2,25.1,7.4,4.0,89.5,16.3,31.5,8.7,44.9,77.675197969,94.833622677,19.2,48.5
"Miller, Mason",Athletics,RHP,740000,,0,0.0,Mason Miller,55,65.0,249,225,36,25,5,0,6,104,21,41.8,8.4,0.16,0.262,0.233,0.495,0.15,0.225,0.218,0.206,0.227,0.076,70.4,15.8,7.9,4.9,23.3,14.3,7.1,12.0,86.1,17.9,28.5,5.7,32.5,74.737690484,92.801441301,40.1,52.3
"Muller, Kyle",Athletics,LHP,740000,,0,0.0,Kyle Muller,21,49.1,202,188,48,32,10,0,6,36,10,17.8,5.0,0.255,0.404,0.292,0.696,0.264,0.412,0.294,0.311,0.306,0.149,71.8,25.0,15.0,11.8,36.1,28.5,7.2,3.0,90.2,13.6,35.5,7.7,43.2,80.150417821,94.370308258,22.7,51.7
"Spence, Mitch",Athletics,RHP,740000,,0,0.0,Mitch Spence,35,151.1,651,598,165,101,41,3,20,126,44,19.4,6.8,0.276,0.455,0.331,0.786,0.251,0.408,0.34,0.314,0.308,0.158,72.0,25.5,15.3,12.2,33.9,26.9,7.4,18.0,89.5,9.6,30.9,8.4,41.7,78.960464768,94.185021142,22.5,50.6
"Fernandez, Ryan",Cardinals,RHP,740000,,0,0.0,Ryan Fernandez,62,66.2,285,246,58,43,8,3,4,71,32,24.9,11.2,0.236,0.341,0.325,0.666,0.221,0.324,0.291,0.292,0.318,0.104,71.5,23.9,12.0,8.5,31.8,22.5,7.5,14.0,89.0,10.4,35.6,7.2,33.9,78.88783427,93.727534407,31.5,47.9
"Smith, Cade",Guardians,RHP,740000,,0,0.0,Cade Smith,74,75.1,289,268,51,30,19,1,1,103,17,35.6,5.9,0.19,0.28,0.246,0.526,0.193,0.305,0.235,0.249,0.25,0.111,71.2,18.3,12.6,9.2,29.7,21.6,7.0,12.0,90.4,11.8,39.2,8.4,42.8,80.141377439,94.869903354,30.2,49.9
"Kolek, Stephen",Padres,RHP,740000,,0,0.0,Stephen Kolek,42,46.2,211,195,59,46,9,0,4,39,12,18.5,5.7,0.303,0.41,0.352,0.762,0.279,0.405,0.336,0.325,0.331,0.126,70.5,16.6,12.8,10.4,33.3,27.0,6.9,5.0,88.1,3.6,30.8,3.8,41.0,76.118934211,94.213670921,21.1,49.3
"Slaten, Justin",Red Sox,RHP,740000,,0,0.0,Justin Slaten,44,55.1,224,211,47,36,6,1,4,58,9,25.9,4.0,0.223,0.318,0.259,0.577,0.233,0.347,0.253,0.278,0.273,0.114,71.1,18.4,10.7,7.6,32.8,23.4,7.3,10.0,87.8,8.6,30.3,3.9,36.8,76.357499351,93.741672403,29.0,53.5
"Molina, Anthony",Rockies,RHP,740000,,0,0.0,Anthony Molina,35,59.2,264,236,72,50,16,1,5,41,22,15.5,8.3,0.305,0.445,0.364,0.809,0.309,0.47,0.349,0.368,0.373,0.161,71.5,20.7,16.4,13.3,31.6,25.5,7.3,3.0,90.4,11.2,38.7,8.0,45.7,79.138607172,95.191955178,18.8,47.7
"Sauer, Matt",Royals,RHP,740000,,0,0.0,Matt Sauer,14,16.1,84,71,23,15,4,1,3,9,11,10.7,13.1,0.324,0.535,0.417,0.952,0.261,0.466,0.408,0.364,0.367,0.206,71.4,23.1,7.0,6.0,30.4,26.1,7.3,1.0,90.2,20.6,33.3,9.5,42.9,81.27310375,93.931096349,15.9,48.0
"Funderburk, Kody",Twins,LHP,740000,,0,0.0,Kody Funderburk,27,34.2,161,136,41,26,10,1,4,32,15,19.9,9.3,0.301,0.478,0.381,0.859,0.28,0.415,0.37,0.351,0.371,0.134,70.1,13.6,13.1,9.9,36.3,27.2,7.0,6.0,87.8,6.0,35.8,7.3,34.9,76.262524074,93.786688333,25.0,42.3
"Beeter, Clayton",Yankees,RHP,740000,,0,0.0,Clayton Beeter,3,3.2,15,14,4,2,2,0,0,5,1,33.3,6.7,0.286,0.429,0.333,0.762,0.236,0.392,0.331,0.295,0.287,0.156,72.0,30.0,16.7,10.0,33.3,20.0,7.4,0.0,89.8,21.8,44.4,11.1,44.4,80.67007,94.809516667,32.0,49.0
