Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"McArthur, James",Royals,RHP,745750,,0,0.0,James McArthur,57,56.2,246,228,68,49,10,1,8,49,13,19.9,5.3,0.298,0.456,0.343,0.799,0.271,0.427,0.344,0.324,0.319,0.156,71.0,17.6,17.9,13.4,42.0,31.3,7.3,12.0,90.2,7.1,34.3,8.3,40.3,79.929693444,94.577994078,28.3,47.3
"Bibee, Tanner",Guardians,RHP,745700,,0,0.0,Tanner Bibee,31,173.2,710,651,150,84,40,4,22,187,44,26.3,6.2,0.23,0.406,0.285,0.691,0.237,0.393,0.299,0.3,0.293,0.156,71.4,20.9,11.4,8.5,29.5,21.9,7.3,23.0,88.4,17.7,37.4,7.0,36.9,77.504108675,93.719329103,26.9,51.0
"Irvin, Jake",Nationals,RHP,745600,,0,0.0,Jake Irvin,33,187.2,769,710,173,103,38,3,29,156,52,20.3,6.8,0.244,0.428,0.299,0.727,0.253,0.43,0.314,0.32,0.307,0.177,71.8,24.5,13.7,10.8,33.0,26.1,7.2,16.0,88.8,11.4,33.0,9.2,39.1,77.537675273,94.341422273,22.3,48.5
"Bird, Jake",Rockies,RHP,745000,,0,0.0,Jake Bird,35,40.0,185,154,43,27,11,0,5,31,25,16.8,13.5,0.279,0.448,0.391,0.839,0.253,0.43,0.368,0.353,0.37,0.178,70.9,20.4,12.4,10.0,31.6,25.3,7.3,7.0,88.3,11.3,30.4,8.8,41.6,75.894677869,94.508409587,22.2,44.2
"Feltner, Ryan",Rockies,RHP,745000,,0,0.0,Ryan Feltner,30,162.1,692,628,165,116,27,2,20,138,52,19.9,7.5,0.263,0.408,0.324,0.732,0.255,0.41,0.32,0.32,0.319,0.155,71.5,21.6,13.8,10.7,34.5,26.6,7.3,18.0,88.1,11.9,33.1,6.5,36.8,76.695048857,93.803345297,23.9,48.1
"Lawrence, Justin",Rockies,RHP,745000,,0,0.0,Justin Lawrence,56,59.2,279,233,73,52,11,1,9,45,33,16.1,11.8,0.313,0.485,0.408,0.893,0.299,0.453,0.387,0.375,0.399,0.154,70.5,20.5,17.5,13.9,37.7,29.9,7.3,11.0,90.0,5.7,32.5,7.7,42.3,78.840013125,94.88308445,22.6,43.4
"Pepiot, Ryan",Rays,RHP,744900,,0,0.0,Ryan Pepiot,26,130.0,539,481,102,65,18,2,17,142,48,26.3,8.9,0.212,0.364,0.292,0.656,0.216,0.371,0.29,0.295,0.296,0.155,71.7,24.0,11.6,8.3,31.7,22.6,7.2,26.0,89.3,19.1,31.4,9.1,37.2,79.441531647,93.814038824,29.9,48.0
"Marsh, Alec",Royals,RHP,744750,,0,0.0,Alec Marsh,26,129.0,548,493,123,73,28,3,19,123,39,22.4,7.1,0.249,0.434,0.316,0.75,0.264,0.453,0.325,0.341,0.331,0.189,71.5,22.4,14.1,11.1,34.3,27.2,7.3,21.0,89.7,15.0,38.0,9.6,40.9,78.827178162,94.623945041,23.5,47.6
"Curry, Xzavion",Guardians,RHP,744400,,0,0.0,Xzavion Curry,16,42.2,172,164,38,15,14,1,8,28,7,16.3,4.1,0.232,0.476,0.262,0.738,0.276,0.503,0.309,0.344,0.305,0.227,72.4,25.6,15.9,12.6,37.0,29.5,7.4,4.0,89.9,25.6,38.0,10.9,43.1,79.568908986,94.509368321,21.1,51.2
"Allen, Logan",Guardians,LHP,744300,,0,0.0,Logan Allen,20,97.1,432,383,113,62,26,3,22,79,41,18.3,9.5,0.295,0.551,0.367,0.918,0.276,0.496,0.39,0.367,0.351,0.221,71.7,24.5,20.4,16.7,38.3,31.3,7.3,14.0,91.0,13.4,36.0,11.4,46.4,80.018277434,95.493760921,21.2,45.0
"Allen, Logan",Guardians,LHP,744300,,0,0.0,Logan Allen,12,28.0,128,114,32,23,6,0,3,21,10,16.4,7.8,0.281,0.412,0.344,0.756,0.305,0.453,0.33,0.359,0.367,0.148,72.0,25.2,14.9,12.1,33.3,27.2,7.4,2.0,89.3,12.9,41.1,5.3,40.0,78.776739375,94.108398632,19.7,49.6
"Hall, DL",Brewers,LHP,744200,,0,0.0,DL Hall,13,43.0,197,170,48,37,5,0,6,44,21,22.3,10.7,0.282,0.418,0.372,0.79,0.24,0.392,0.35,0.325,0.336,0.153,71.5,22.4,15.1,11.8,29.1,22.7,7.5,6.0,87.3,14.0,28.3,8.7,37.8,75.073509194,93.863195285,23.6,43.4
"Ortiz, Luis",Phillies,RHP,744000,,0,0.0,Luis Ortiz,37,135.2,556,500,109,68,21,4,16,107,42,19.2,7.6,0.218,0.372,0.288,0.66,0.24,0.425,0.287,0.32,0.31,0.185,71.7,23.7,11.9,9.5,31.5,25.2,7.3,13.0,89.0,13.9,34.9,8.8,37.7,78.240775528,94.10121864,21.0,48.1
"Harrison, Kyle",Giants,LHP,743750,,0,0.0,Kyle Harrison,24,124.1,532,476,125,81,25,1,18,118,42,22.2,7.9,0.263,0.433,0.328,0.761,0.257,0.437,0.33,0.338,0.328,0.18,71.4,22.6,17.3,13.2,37.1,28.3,7.2,9.0,90.7,14.9,34.2,10.1,44.1,80.405098066,94.933663315,23.6,46.2
"Hjelle, Sean",Giants,RHP,743750,,0,0.0,Sean Hjelle,58,80.2,337,314,84,64,9,1,10,75,14,22.3,4.2,0.268,0.398,0.308,0.706,0.249,0.379,0.306,0.293,0.291,0.131,70.5,18.1,13.6,10.9,38.5,30.8,7.2,13.0,88.7,2.3,29.6,5.3,37.4,77.987104333,93.88649477,21.4,45.2
"Winn, Keaton",Giants,RHP,743750,,0,0.0,Keaton Winn,12,55.1,238,209,56,32,10,5,9,48,20,20.2,8.4,0.268,0.493,0.338,0.831,0.273,0.479,0.354,0.358,0.347,0.206,71.7,25.4,17.6,13.3,36.4,27.5,7.4,3.0,93.1,8.7,34.5,8.5,50.6,83.763880641,96.123965,25.2,52.5
