Feature,Importance
xobp,0.044889790535402235
on_base_percent,0.043491565897645704
avg_swing_length,0.04256760729255828
sweet_spot_percent,0.0405312589069363
double,0.03909881335428689
launch_angle_avg,0.037808058767370895
xwoba,0.03778355340452298
home_run,0.03574744644313532
walk,0.03544636601467439
pa,0.030304320555980167
squared_up_contact,0.02983755978491998
xba,0.029591182650583542
swing_percent,0.02823612620029111
triple,0.02793131632850353
k_percent,0.02623247496814582
swords,0.02586177719313793
whiff_percent,0.025201943311278147
on_base_plus_slg,0.025177194108819963
ab,0.023913184970710318
bb_percent,0.023403408155767715
barrel_batted_rate,0.022465208520039647
blasts_swing,0.022457450684356044
strikeout,0.021840133813641596
hard_hit_percent,0.021069789845431564
slg_percent,0.020988942080576965
fast_swing_rate,0.020702319835711618
single,0.020692850819190253
xslg,0.020454881106439414
batting_avg,0.02029604856478693
exit_velocity_avg,0.019985446558957374
avg_swing_speed,0.019292174329959288
avg_hyper_speed,0.01882569899927772
woba,0.018748248646739445
squared_up_swing,0.018696396740140828
blasts_contact,0.015411658851100121
avg_best_speed,0.015268241698214278
hit,0.014887049378504661
xiso,0.014862510682260945
